iter	Passed	Remaining
415	2927	4109
416	2934	4102
417	2942	4096
418	2949	4089
419	2957	4084
420	2965	4077
421	2972	4071
422	2979	4064
423	2988	4059
424	2995	4053
425	3002	4046
426	3010	4039
427	3018	4033
428	3025	4026
429	3032	4020
430	3039	4013
431	3048	4007
432	3055	4001
433	3064	3996
434	3071	3989
435	3079	3982
436	3086	3975
437	3093	3969
438	3100	3962
439	3107	3955
440	3115	3948
441	3122	3942
442	3129	3935
443	3136	3927
444	3145	3922
445	3151	3915
446	3159	3908
447	3166	3901
448	3174	3895
449	3181	3888
450	3190	3883
451	3197	3876
452	3205	3870
453	3212	3863
454	3219	3856
455	3226	3849
456	3233	3842
457	3242	3836
458	3251	3831
459	3258	3825
460	3266	3819
461	3275	3813
462	3284	3809
463	3292	3803
464	3300	3796
465	3308	3790
466	3317	3785
467	3323	3778
468	3331	3771
469	3338	3764
470	3346	3758
471	3353	3751
472	3360	3743
473	3367	3737
474	3375	3730
475	3383	3724
476	3390	3717
477	3399	3712
478	3407	3706
479	3414	3699
480	3421	3691
481	3430	3686
482	3437	3679
483	3445	3673
484	3452	3665
485	3461	3660
486	3469	3654
487	3477	3648
488	3484	3640
489	3491	3633
490	3499	3628
491	3506	3620
492	3515	3615
493	3522	3608
494	3531	3602
495	3538	3595
496	3546	3588
497	3553	3582
498	3562	3576
499	3570	3570
500	3577	3563
501	3585	3556
502	3592	3550
503	3599	3542
504	3606	3535
505	3615	3530
506	3623	3523
507	3630	3516
508	3637	3509
509	3646	3503
510	3654	3496
511	3660	3489
512	3668	3482
513	3676	3476
514	3683	3468
515	3691	3462
516	3699	3455
517	3706	3448
518	3713	3441
519	3721	3435
520	3728	3428
521	3736	3421
522	3744	3414
523	3751	3407
524	3758	3400
525	3765	3392
526	3774	3387
527	3783	3382
528	3790	3375
529	3799	3369
530	3807	3362
531	3815	3356
532	3823	3350
533	3831	3343
534	3837	3335
535	3846	3329
536	3853	3322
537	3862	3316
538	3869	3309
539	3878	3303
540	3885	3296
541	3893	3289
542	3900	3282
543	3908	3276
544	3916	3270
545	3924	3263
546	3931	3256
547	3938	3248
548	3945	3241
549	3952	3234
550	3960	3227
551	3968	3221
552	3976	3214
553	3983	3207
554	3991	3200
555	3998	3193
556	4005	3185
557	4013	3178
