iter	Logloss
0	0.6760032898
1	0.6595906431
2	0.6415414505
3	0.6257224304
4	0.6088268782
5	0.5941100748
6	0.579292053
7	0.5649304373
8	0.5500222203
9	0.5377059339
10	0.5243554709
11	0.5119520303
12	0.4977001584
13	0.4863726524
14	0.4750127283
15	0.4640607732
16	0.4546401272
17	0.4436596093
18	0.4339779891
19	0.4236385576
20	0.4130049193
21	0.4043266595
22	0.394298377
23	0.3850267078
24	0.3770773402
25	0.3689361789
26	0.3599655043
27	0.351602629
28	0.3447852355
29	0.3374361737
30	0.3307625984
31	0.3237797476
32	0.3169232569
33	0.3093563636
34	0.3024257239
35	0.297110561
36	0.2913099404
37	0.2850945632
38	0.279636831
39	0.2739925724
40	0.2690462812
41	0.2633259458
42	0.2575309998
43	0.252951734
44	0.2480137509
45	0.2438877418
46	0.2397125353
47	0.2360360902
48	0.2318508379
49	0.2284896959
50	0.2248780464
51	0.220910259
52	0.2170128466
53	0.2137410581
54	0.2104501147
55	0.2075590765
56	0.2044098063
57	0.2016201087
58	0.1986405722
59	0.1961126904
60	0.1931731472
61	0.1904309772
62	0.1867898961
63	0.1846066539
64	0.1826125854
65	0.1801916509
66	0.1777435248
67	0.1755984703
68	0.1732563548
69	0.1704053913
70	0.1676920012
71	0.16574208
72	0.1638266947
73	0.1618483194
74	0.1593292616
75	0.1569419535
76	0.1552437073
77	0.1533566947
78	0.1516320714
79	0.1499859141
80	0.148262404
81	0.1466764131
82	0.1447363205
83	0.1431465692
84	0.1411841722
85	0.1395973124
86	0.1380121089
87	0.1369911818
88	0.1351663175
89	0.1337338376
90	0.1323388938
91	0.1312201015
92	0.1299022389
93	0.1285379213
94	0.1274122734
95	0.1261439748
96	0.1249988325
97	0.1237358962
98	0.1226922303
99	0.1215350467
100	0.1204742486
101	0.119341107
102	0.1183492043
103	0.1173328658
104	0.116506339
105	0.1154126748
106	0.1143686967
107	0.1134080581
108	0.1125966001
109	0.1115053184
110	0.1106822058
111	0.1097259861
112	0.1088569342
113	0.1080661923
114	0.1072603205
115	0.1065059132
116	0.1056976115
117	0.1050701209
118	0.1040674868
119	0.1034582009
120	0.1028120238
121	0.1021613192
122	0.1014984647
123	0.1010770289
124	0.1002795739
125	0.09964330001
126	0.09892210502
127	0.09824773171
128	0.09754502646
129	0.09705941278
130	0.09627179998
131	0.0955120236
132	0.09484756035
133	0.09427758213
134	0.09372046664
135	0.09314518722
136	0.09261004356
137	0.09210211866
138	0.09174850572
139	0.0915301177
140	0.09104414427
141	0.09061338214
142	0.09024383844
143	0.08972009136
144	0.0894070554
145	0.08897635436
146	0.08849314354
147	0.0880691284
148	0.08756148179
149	0.08701883771
150	0.08654172904
151	0.08627590166
152	0.08608006922
153	0.08564765767
154	0.08526694138
155	0.08496065242
156	0.08459548679
157	0.08418728024
158	0.08366713066
159	0.08329043948
160	0.08296857949
161	0.08252483925
162	0.08211839072
163	0.08176975997
164	0.08155291954
165	0.08138646435
166	0.08132308743
167	0.08111566157
168	0.08089717851
169	0.08045050597
170	0.08006723071
171	0.07986379603
